candidate_performer_name	candidate_type	source_id	confidence	review_status
A. De Montenegro	individual_candidate	SRC0001	high	raw_extracted
Abel Domínguez	individual_candidate	SRC0001	high	raw_extracted
Acerina y su Danzonera	needs_entity_review	SRC0001	medium	needs_review
Adelita	individual_candidate	SRC0001	high	raw_extracted
Adrian Gallardo	individual_candidate	SRC0001	high	raw_extracted
Agueda Curiel	individual_candidate	SRC0001	high	raw_extracted
Agustín Lara	individual_candidate	SRC0001	high	raw_extracted
Alarcon Leal Y La Tamaulipeca	needs_entity_review	SRC0001	medium	needs_review
Alberto Dominguez	individual_candidate	SRC0001	high	raw_extracted
Alberto Suarez	individual_candidate	SRC0001	high	raw_extracted
Alegres De Terán Y Marcelo Y Aurelia	needs_entity_review	SRC0001	medium	needs_review
Alejandro De Montenegro	individual_candidate	SRC0001	high	raw_extracted
Alejandro Martinez	individual_candidate	SRC0001	high	raw_extracted
Alejandro Montenegro	individual_candidate	SRC0001	high	raw_extracted
Alex Sosa	individual_candidate	SRC0001	high	raw_extracted
Alfonso Bruschetta	individual_candidate	SRC0001	high	raw_extracted
Alfonso Ortiz Tirado	individual_candidate	SRC0001	high	raw_extracted
Alicia Maria	individual_candidate	SRC0001	high	raw_extracted
Amalia Macias	individual_candidate	SRC0001	high	raw_extracted
Amparo Montes	individual_candidate	SRC0001	high	raw_extracted
Ana María	individual_candidate	SRC0001	high	raw_extracted
Andrés Huesca	individual_candidate	SRC0001	high	raw_extracted
Angel Infante	individual_candidate	SRC0001	high	raw_extracted
Angel Montañez	individual_candidate	SRC0001	high	raw_extracted
Angelina Y Tono	needs_entity_review	SRC0001	medium	needs_review
Anselmo Alvarado	individual_candidate	SRC0001	high	raw_extracted
Antar Daly	individual_candidate	SRC0001	high	raw_extracted
Antinoco Garibay	individual_candidate	SRC0001	high	raw_extracted
Antonio Badu	individual_candidate	SRC0001	high	raw_extracted
Antonio Tanguma	individual_candidate	SRC0001	high	raw_extracted
Armando Blancarte	individual_candidate	SRC0001	high	raw_extracted
Beatriz Adriana	individual_candidate	SRC0001	high	raw_extracted
Beatriz Adriana Y Pedro Infante	needs_entity_review	SRC0001	medium	needs_review
Beatriz Eugenia	individual_candidate	SRC0001	high	raw_extracted
Beatriz Eugenia y Luis Lozano	needs_entity_review	SRC0001	medium	needs_review
Bertha Y Juan	needs_entity_review	SRC0001	medium	needs_review
Blas Salazar	individual_candidate	SRC0001	high	raw_extracted
Bob & Tony	needs_entity_review	SRC0001	medium	needs_review
Bulmaro Paleo	individual_candidate	SRC0001	high	raw_extracted
Carlos Alas Del Casino	individual_candidate	SRC0001	high	raw_extracted
Carlos Madrigal	individual_candidate	SRC0001	high	raw_extracted
Carlos Madrigal - Emilio Galvez	needs_entity_review	SRC0001	medium	needs_review
Carlos Spaventa	individual_candidate	SRC0001	high	raw_extracted
Carlos Valadez	individual_candidate	SRC0001	high	raw_extracted
Carlos Y Gela	needs_entity_review	SRC0001	medium	needs_review
Carmela	individual_candidate	SRC0001	high	raw_extracted
Carmen Cardenal	individual_candidate	SRC0001	high	raw_extracted
Carmen Del Real	individual_candidate	SRC0001	high	raw_extracted
Chabela Durán	individual_candidate	SRC0001	high	raw_extracted
Chagua González	individual_candidate	SRC0001	high	raw_extracted
Charro Gil	individual_candidate	SRC0001	high	raw_extracted
Chelo Silva	individual_candidate	SRC0001	high	raw_extracted
Chucho Monge	individual_candidate	SRC0001	high	raw_extracted
Chuy Luviano	individual_candidate	SRC0001	high	raw_extracted
Cirila Y Celedonio	needs_entity_review	SRC0001	medium	needs_review
Conchita Del Mar	individual_candidate	SRC0001	high	raw_extracted
Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay	needs_entity_review	SRC0001	medium	needs_review
Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay Y Leandro Corona	needs_entity_review	SRC0001	medium	needs_review
Cuarteto Armonico	needs_entity_review	SRC0001	medium	needs_review
Cuarteto Armonico - Hermanas Cora	needs_entity_review	SRC0001	medium	needs_review
Cuarteto Metropolitano De Felipe Bermejo	needs_entity_review	SRC0001	medium	needs_review
Cuarteto Orizaba	needs_entity_review	SRC0001	medium	needs_review
Cuarteto Ruffino	needs_entity_review	SRC0001	medium	needs_review
Cuates Castilla Y Ana Morena	needs_entity_review	SRC0001	medium	needs_review
Cuco Sanchez	individual_candidate	SRC0001	high	raw_extracted
Cuco Y Lupe	needs_entity_review	SRC0001	medium	needs_review
Dalia Iñiguez	individual_candidate	SRC0001	high	raw_extracted
Daltas	individual_candidate	SRC0001	high	raw_extracted
David Zaizar	individual_candidate	SRC0001	high	raw_extracted
Demetrio González	individual_candidate	SRC0001	high	raw_extracted
Don Rogelio	individual_candidate	SRC0001	high	raw_extracted
Duarte y sus Corsarios	needs_entity_review	SRC0001	medium	needs_review
Dueto Adan Y Eva	needs_entity_review	SRC0001	medium	needs_review
Dueto Aguila Y Sol	needs_entity_review	SRC0001	medium	needs_review
Dueto Blanco Y Negro	needs_entity_review	SRC0001	medium	needs_review
Dueto Carlos Y Alicia	needs_entity_review	SRC0001	medium	needs_review
Dueto Sanchez Y Galvez	needs_entity_review	SRC0001	medium	needs_review
Dueto Timbre Y Sobre	needs_entity_review	SRC0001	medium	needs_review
D’Artega Orchestra	needs_entity_review	SRC0001	medium	needs_review
Eduardo Alexander	individual_candidate	SRC0001	high	raw_extracted
Eduardo Del Campo	individual_candidate	SRC0001	high	raw_extracted
Eduardo Lara H.	individual_candidate	SRC0001	high	raw_extracted
Eduardo Solis	individual_candidate	SRC0001	high	raw_extracted
El Charro Y La Adelita	needs_entity_review	SRC0001	medium	needs_review
El Negro Marcelino	individual_candidate	SRC0001	high	raw_extracted
Emilio Barney	individual_candidate	SRC0001	high	raw_extracted
Emilio Tuero	individual_candidate	SRC0001	high	raw_extracted
Emilio Tuero - Hnas. Aguila	needs_entity_review	SRC0001	medium	needs_review
Emily Cranz	individual_candidate	SRC0001	high	raw_extracted
Enrique Alejandro	individual_candidate	SRC0001	high	raw_extracted
Enrique Olivarez	individual_candidate	SRC0001	high	raw_extracted
Erendira Y Rene	needs_entity_review	SRC0001	medium	needs_review
Esmeralda	individual_candidate	SRC0001	high	raw_extracted
Fco. Spaventa	individual_candidate	SRC0001	high	raw_extracted
Federico Curiel	individual_candidate	SRC0001	high	raw_extracted
Felipe B. Gil	individual_candidate	SRC0001	high	raw_extracted
Felipe Bermejo	individual_candidate	SRC0001	high	raw_extracted
Felipe Pérez Lopez	individual_candidate	SRC0001	high	raw_extracted
Fernando Rios	individual_candidate	SRC0001	high	raw_extracted
Fernando Rosas	individual_candidate	SRC0001	high	raw_extracted
Fernando Zaizar	individual_candidate	SRC0001	high	raw_extracted
Filiberto Parra	individual_candidate	SRC0001	high	raw_extracted
Frankie	individual_candidate	SRC0001	high	raw_extracted
Frankle	individual_candidate	SRC0001	high	raw_extracted
Gaby Daltas	individual_candidate	SRC0001	high	raw_extracted
Genaro Salinas	individual_candidate	SRC0001	high	raw_extracted
George Jay	individual_candidate	SRC0001	high	raw_extracted
Gilberto Lazaro Gaona	individual_candidate	SRC0001	high	raw_extracted
Gonzalo Curiel	individual_candidate	SRC0001	high	raw_extracted
Gualberto Castro	individual_candidate	SRC0001	high	raw_extracted
Guillermo Alvarez	individual_candidate	SRC0001	high	raw_extracted
Gustavo Morales	individual_candidate	SRC0001	high	raw_extracted
Guty Cárdenas	individual_candidate	SRC0001	high	raw_extracted
Hector Galeana Serna	individual_candidate	SRC0001	high	raw_extracted
Hemanas Hernandez	individual_candidate	SRC0001	high	raw_extracted
Heriberto Molina	individual_candidate	SRC0001	high	raw_extracted
Hermanas Aguila	individual_candidate	SRC0001	high	raw_extracted
Hermanas Barocio	individual_candidate	SRC0001	high	raw_extracted
Hermanas Cora	individual_candidate	SRC0001	high	raw_extracted
Hermanas Cora Y Hermanos Zaizar	needs_entity_review	SRC0001	medium	needs_review
Hermanas Del Valle	individual_candidate	SRC0001	high	raw_extracted
Hermanas Hernandes	individual_candidate	SRC0001	high	raw_extracted
Hermanas Hernández	individual_candidate	SRC0001	high	raw_extracted
Hermanas Luna	individual_candidate	SRC0001	high	raw_extracted
Hermanas Medrano	individual_candidate	SRC0001	high	raw_extracted
Hermanas Orozco	individual_candidate	SRC0001	high	raw_extracted
Hermanas Ruelas	individual_candidate	SRC0001	high	raw_extracted
Hermanas Velazquez	individual_candidate	SRC0001	high	raw_extracted
Hermanos Calderon	individual_candidate	SRC0001	high	raw_extracted
Hermanos Cárdenas	individual_candidate	SRC0001	high	raw_extracted
Hermanos Huesca	individual_candidate	SRC0001	high	raw_extracted
Hermanos Luna	individual_candidate	SRC0001	high	raw_extracted
Hermanos Michel	individual_candidate	SRC0001	high	raw_extracted
Hermanos Orozco	individual_candidate	SRC0001	high	raw_extracted
Hermanos Recio	individual_candidate	SRC0001	high	raw_extracted
Hermanos Zaizar	individual_candidate	SRC0001	high	raw_extracted
Hermanos Zaizar - Prieta Linda	needs_entity_review	SRC0001	medium	needs_review
Hnas. Hernandez	individual_candidate	SRC0001	high	raw_extracted
Hnos. Carrillo	individual_candidate	SRC0001	high	raw_extracted
Hnos. Huesca	individual_candidate	SRC0001	high	raw_extracted
Hnos. Martinez Gil	individual_candidate	SRC0001	high	raw_extracted
Homero Rodriguez	individual_candidate	SRC0001	high	raw_extracted
Humberto Bethancourt	individual_candidate	SRC0001	high	raw_extracted
Jaime Nolla Reyes	individual_candidate	SRC0001	high	raw_extracted
Jesus Bernal	individual_candidate	SRC0001	high	raw_extracted
Johnny Lopez	individual_candidate	SRC0001	high	raw_extracted
Jorge Fernández	individual_candidate	SRC0001	high	raw_extracted
Jorge Ledezma	individual_candidate	SRC0001	high	raw_extracted
Jorge M. Dada	individual_candidate	SRC0001	high	raw_extracted
Jose Luis Caro	individual_candidate	SRC0001	high	raw_extracted
José Agustin Hernandez	individual_candidate	SRC0001	high	raw_extracted
José Contreras	individual_candidate	SRC0001	high	raw_extracted
José Luis Vazquez	individual_candidate	SRC0001	high	raw_extracted
José Martin	individual_candidate	SRC0001	high	raw_extracted
Juan Arvizú	individual_candidate	SRC0001	high	raw_extracted
Juan Arvizú - Mario Talavera	needs_entity_review	SRC0001	medium	needs_review
Juan Manuel Colombo	individual_candidate	SRC0001	high	raw_extracted
Juan Mendoza	individual_candidate	SRC0001	high	raw_extracted
Juan Murrieta	individual_candidate	SRC0001	high	raw_extracted
Juan Zaizar	individual_candidate	SRC0001	high	raw_extracted
Juanita Escoto	individual_candidate	SRC0001	high	raw_extracted
Julio Aldama	individual_candidate	SRC0001	high	raw_extracted
Julio Flores	individual_candidate	SRC0001	high	raw_extracted
Julio Jaramillo	individual_candidate	SRC0001	high	raw_extracted
La Gran Rondalla Mexicana De Tata Nacho	individual_candidate	SRC0001	high	raw_extracted
La Marimba Chiapaneca	individual_candidate	SRC0001	high	raw_extracted
La Mexicanita	individual_candidate	SRC0001	high	raw_extracted
La Niebla	individual_candidate	SRC0001	high	raw_extracted
La Panchita	individual_candidate	SRC0001	high	raw_extracted
La Panchita Y Amapola	needs_entity_review	SRC0001	medium	needs_review
La Prieta Linda	individual_candidate	SRC0001	high	raw_extracted
La Prieta Linda y Hermanos Zaizar	needs_entity_review	SRC0001	medium	needs_review
La Rosa Michoacana	individual_candidate	SRC0001	high	raw_extracted
La Torcacita	individual_candidate	SRC0001	high	raw_extracted
Lalo Guerrero	individual_candidate	SRC0001	high	raw_extracted
Laura Alegria	individual_candidate	SRC0001	high	raw_extracted
Laurita y Ray	needs_entity_review	SRC0001	medium	needs_review
Leandro Espinoza	individual_candidate	SRC0001	high	raw_extracted
Licha Ramos	individual_candidate	SRC0001	high	raw_extracted
Lino Lujan	individual_candidate	SRC0001	high	raw_extracted
Lira De San Cristóbal	individual_candidate	SRC0001	high	raw_extracted
Lira De San Cristóbal Marimba	individual_candidate	SRC0001	high	raw_extracted
Lola Beltran Y Hnos. Michel	needs_entity_review	SRC0001	medium	needs_review
Lola Beltran Y Prieta Linda	needs_entity_review	SRC0001	medium	needs_review
Lola Beltran Y Trio Hnos. Michel	needs_entity_review	SRC0001	medium	needs_review
Lola Beltran y Los Tres Cotorros	needs_entity_review	SRC0001	medium	needs_review
Lola Beltrán	individual_candidate	SRC0001	high	raw_extracted
Lolita Sandoval C.	individual_candidate	SRC0001	high	raw_extracted
Los Baby’s	individual_candidate	SRC0001	high	raw_extracted
Los Blue Angel’s	individual_candidate	SRC0001	high	raw_extracted
Los Freddy’s	individual_candidate	SRC0001	high	raw_extracted
Los Sonor’s	individual_candidate	SRC0001	high	raw_extracted
Los Xochimilcas Trio De La Playa	individual_candidate	SRC0001	high	raw_extracted
Luis Aguilar - Emilio Galvez y Roberto G. Rivera	needs_entity_review	SRC0001	medium	needs_review
Luis Aquiles Orchestra	needs_entity_review	SRC0001	medium	needs_review
Luis Arcaraz	individual_candidate	SRC0001	high	raw_extracted
Luis Demetrio	individual_candidate	SRC0001	high	raw_extracted
Luis G. Roldan	individual_candidate	SRC0001	high	raw_extracted
Luis Lozano	individual_candidate	SRC0001	high	raw_extracted
Luis Pérez Meza	individual_candidate	SRC0001	high	raw_extracted
Lupe Aguilar	individual_candidate	SRC0001	high	raw_extracted
Lupe Mejia	individual_candidate	SRC0001	high	raw_extracted
Lupe y Bella	needs_entity_review	SRC0001	medium	needs_review
Lupita Alday	individual_candidate	SRC0001	high	raw_extracted
Lupita Cabrera	individual_candidate	SRC0001	high	raw_extracted
Lupita Carmona	individual_candidate	SRC0001	high	raw_extracted
Lupita Moran	individual_candidate	SRC0001	high	raw_extracted
Lupita Palomera	individual_candidate	SRC0001	high	raw_extracted
Lupita Parra	individual_candidate	SRC0001	high	raw_extracted
Lupita Tovar	individual_candidate	SRC0001	high	raw_extracted
Lydia Mendoza	individual_candidate	SRC0001	high	raw_extracted
Maciste	individual_candidate	SRC0001	high	raw_extracted
Magda Franco	individual_candidate	SRC0001	high	raw_extracted
Manolita Arreola	individual_candidate	SRC0001	high	raw_extracted
Manuel D. Núñez	individual_candidate	SRC0001	high	raw_extracted
Manuel Lopez Ochoa	individual_candidate	SRC0001	high	raw_extracted
Manuel Nuñez Y Goty	needs_entity_review	SRC0001	medium	needs_review
Manuelita Arriola	individual_candidate	SRC0001	high	raw_extracted
Marco Antonio Vazquez	individual_candidate	SRC0001	high	raw_extracted
Marga Llergo	individual_candidate	SRC0001	high	raw_extracted
Margarita Romero	individual_candidate	SRC0001	high	raw_extracted
Margarita Sierra	individual_candidate	SRC0001	high	raw_extracted
Maria Alma	individual_candidate	SRC0001	high	raw_extracted
Maria Cristina	individual_candidate	SRC0001	high	raw_extracted
Maria De Jesus Vasquez	individual_candidate	SRC0001	high	raw_extracted
Maria De Jesus Vazquez	individual_candidate	SRC0001	high	raw_extracted
Maria De Lourdes	individual_candidate	SRC0001	high	raw_extracted
Maria Elena Sandova	individual_candidate	SRC0001	high	raw_extracted
Maria Elena Sandoval	individual_candidate	SRC0001	high	raw_extracted
Maria Izquierdo	individual_candidate	SRC0001	high	raw_extracted
Maria Trinidad	individual_candidate	SRC0001	high	raw_extracted
Mariachi Blanco Y Negro	needs_entity_review	SRC0001	medium	needs_review
Mariachi Oro Y Plata De Pepe Chávez	needs_entity_review	SRC0001	medium	needs_review
Marilu	individual_candidate	SRC0001	high	raw_extracted
Marimba Chiapaneca	individual_candidate	SRC0001	high	raw_extracted
Marimba Cuquita De los Hermanos Narváez	individual_candidate	SRC0001	high	raw_extracted
Marimba Cuquita De los Hnos. Narváez	individual_candidate	SRC0001	high	raw_extracted
Marimba De Los Hermanos Paniagua	individual_candidate	SRC0001	high	raw_extracted
Marimba De Los Hnos. Paniaga	individual_candidate	SRC0001	high	raw_extracted
Marimba Hermanos Paniagua	individual_candidate	SRC0001	high	raw_extracted
Marimba Hnos. Paniagua	individual_candidate	SRC0001	high	raw_extracted
Marimba Orquesta De Hermanos Paniagua	needs_entity_review	SRC0001	medium	needs_review
Marimba Orquesta De Los Hermanos Paniagua	needs_entity_review	SRC0001	medium	needs_review
Marimba Orquesta De Los Hnos. Dominguez	needs_entity_review	SRC0001	medium	needs_review
Mario A. Rodriguez	individual_candidate	SRC0001	high	raw_extracted
Mario Alberto Rodríguez	individual_candidate	SRC0001	high	raw_extracted
Mario F. Porta	individual_candidate	SRC0001	high	raw_extracted
Mario Robledo	individual_candidate	SRC0001	high	raw_extracted
Mario Rodriguez	individual_candidate	SRC0001	high	raw_extracted
Marta Triana	individual_candidate	SRC0001	high	raw_extracted
Martha Laura	individual_candidate	SRC0001	high	raw_extracted
Martha Triana	individual_candidate	SRC0001	high	raw_extracted
Martha Y Felipe	needs_entity_review	SRC0001	medium	needs_review
Martin Becerra	individual_candidate	SRC0001	high	raw_extracted
Martin Y Catita	needs_entity_review	SRC0001	medium	needs_review
Martin Y Eloisa	needs_entity_review	SRC0001	medium	needs_review
Martin Y Malena	needs_entity_review	SRC0001	medium	needs_review
Martin Y Martita	needs_entity_review	SRC0001	medium	needs_review
Martita	individual_candidate	SRC0001	high	raw_extracted
María Luisa Landín	individual_candidate	SRC0001	high	raw_extracted
Memo Lugo	individual_candidate	SRC0001	high	raw_extracted
Memo Salamanca	individual_candidate	SRC0001	high	raw_extracted
Miguel Aceves Mejía	individual_candidate	SRC0001	high	raw_extracted
Miguel Angel Torres	individual_candidate	SRC0001	high	raw_extracted
Miguel De Gonzalo	individual_candidate	SRC0001	high	raw_extracted
Montane - Andrade - Jimenez	needs_entity_review	SRC0001	medium	needs_review
N. Farjardo - L. Bravo - A. Islas	needs_entity_review	SRC0001	medium	needs_review
Nano Molina	individual_candidate	SRC0001	high	raw_extracted
Negrito Barrios	individual_candidate	SRC0001	high	raw_extracted
Nestor Chayres	individual_candidate	SRC0001	high	raw_extracted
Noé Bahena	individual_candidate	SRC0001	high	raw_extracted
Ody Duran	individual_candidate	SRC0001	high	raw_extracted
Olga Darson	individual_candidate	SRC0001	high	raw_extracted
Orquesta Alejandro Cardona	needs_entity_review	SRC0001	medium	needs_review
Orquesta Cha, Cha, Cha Continental	needs_entity_review	SRC0001	medium	needs_review
Orquesta Cubana De Domingo Vernier	needs_entity_review	SRC0001	medium	needs_review
Orquesta Cubana De Domingo Vernier Mango	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Abel Domínguez	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Alberto Dominguez	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Antonio Escobar	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Arturo Nuñez	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Cuerdas De Gervasio Lopez	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Cuerdas Y Alientos De Alejandro Perucho	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Cuerdas Y Alientos De Aurelio De La Cruz	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Filiberto Cedillo	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Ismael Diaz	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Joaquin P.Monroy	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Juan Garcia Medeles	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Juan S. Garrido	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Memo Salamanca	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Miguel Angel Pazos	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Noe Fajardo	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Pepe De Le Vega	needs_entity_review	SRC0001	medium	needs_review
Orquesta De Ramon Marquez	needs_entity_review	SRC0001	medium	needs_review
Orquesta Hermanos Marquez	needs_entity_review	SRC0001	medium	needs_review
Orquesta Internacional	needs_entity_review	SRC0001	medium	needs_review
Orquesta J. S. Garrido	needs_entity_review	SRC0001	medium	needs_review
Orquesta Juan S. Garrido	needs_entity_review	SRC0001	medium	needs_review
Orquesta Marimba De Abel Dominguez	needs_entity_review	SRC0001	medium	needs_review
Orquesta Mexicana De Raul Diaz El Mago	needs_entity_review	SRC0001	medium	needs_review
Orquesta Posadas	needs_entity_review	SRC0001	medium	needs_review
Orquesta Sinfonica De Daniel Pérez Castañeda	needs_entity_review	SRC0001	medium	needs_review
Orquesta Tropical	needs_entity_review	SRC0001	medium	needs_review
Orquesta Tropical De Chucho Rodriguez	needs_entity_review	SRC0001	medium	needs_review
Orquesta Tropical Maravilla	needs_entity_review	SRC0001	medium	needs_review
Ortiz Tirado	individual_candidate	SRC0001	high	raw_extracted
Oscar Lopez	individual_candidate	SRC0001	high	raw_extracted
Paco Betancourt	individual_candidate	SRC0001	high	raw_extracted
Pareja Quiroz	individual_candidate	SRC0001	high	raw_extracted
Pedro Galindo	individual_candidate	SRC0001	high	raw_extracted
Pedro Infante	individual_candidate	SRC0001	high	raw_extracted
Pedro Patricio Y Panfilo Patricio	needs_entity_review	SRC0001	medium	needs_review
Pedro Vargas	individual_candidate	SRC0001	high	raw_extracted
Pepe Gavilan	individual_candidate	SRC0001	high	raw_extracted
Pepe Infante	individual_candidate	SRC0001	high	raw_extracted
Pepe Peña	individual_candidate	SRC0001	high	raw_extracted
Pepe Vasquez	individual_candidate	SRC0001	high	raw_extracted
Pepe Y Lulu	needs_entity_review	SRC0001	medium	needs_review
Pimentel - Ledezma	needs_entity_review	SRC0001	medium	needs_review
Pimentel Y Ledezma	needs_entity_review	SRC0001	medium	needs_review
Poncho Y Martha	needs_entity_review	SRC0001	medium	needs_review
Prieta Linda	individual_candidate	SRC0001	high	raw_extracted
Prieta Linda - Hermanos Zaizar	needs_entity_review	SRC0001	medium	needs_review
Queta Jimenez	individual_candidate	SRC0001	high	raw_extracted
Rafael Cabrera	individual_candidate	SRC0001	high	raw_extracted
Rafael De Paz	individual_candidate	SRC0001	high	raw_extracted
Ramón Manzo	individual_candidate	SRC0001	high	raw_extracted
Raquel Domenech	individual_candidate	SRC0001	high	raw_extracted
Raquel Esparza Montañez	individual_candidate	SRC0001	high	raw_extracted
Raul Martinez	individual_candidate	SRC0001	high	raw_extracted
Renato López Magaña	individual_candidate	SRC0001	high	raw_extracted
Ricardo Barquera	individual_candidate	SRC0001	high	raw_extracted
Ricardo Duardo	individual_candidate	SRC0001	high	raw_extracted
Rodolfo Castillo	individual_candidate	SRC0001	high	raw_extracted
Rodolfo y Beatriz	needs_entity_review	SRC0001	medium	needs_review
Rolando Arce	individual_candidate	SRC0001	high	raw_extracted
Rosa Maria	individual_candidate	SRC0001	high	raw_extracted
Rosa Maria Mayer	individual_candidate	SRC0001	high	raw_extracted
Rosario De Alba	individual_candidate	SRC0001	high	raw_extracted
Ruben Mendez	individual_candidate	SRC0001	high	raw_extracted
Rudy Macias Quintet	individual_candidate	SRC0001	high	raw_extracted
Salvador García	individual_candidate	SRC0001	high	raw_extracted
Salvador Huerta	individual_candidate	SRC0001	high	raw_extracted
Salvador S. Najera	individual_candidate	SRC0001	high	raw_extracted
Salvajes De La Frontera	individual_candidate	SRC0001	high	raw_extracted
Santa Oviedo	individual_candidate	SRC0001	high	raw_extracted
Sebastian Muñoz	individual_candidate	SRC0001	high	raw_extracted
Severiano Briseno	individual_candidate	SRC0001	high	raw_extracted
Son Yumuri	individual_candidate	SRC0001	high	raw_extracted
Tere Y Maricela	needs_entity_review	SRC0001	medium	needs_review
Tito Enriquez	individual_candidate	SRC0001	high	raw_extracted
Tito Güizar	individual_candidate	SRC0001	high	raw_extracted
Tomas Andres	individual_candidate	SRC0001	high	raw_extracted
Tomas Mendez Sosa	individual_candidate	SRC0001	high	raw_extracted
Tony Camargo	individual_candidate	SRC0001	high	raw_extracted
Toña La Negra	individual_candidate	SRC0001	high	raw_extracted
Toña Montiel	individual_candidate	SRC0001	high	raw_extracted
Tropical Caribe De Miguel Aguilar	individual_candidate	SRC0001	high	raw_extracted
Tropical Florida	individual_candidate	SRC0001	high	raw_extracted
Trovadores Huastecos	individual_candidate	SRC0001	high	raw_extracted
Trovadores Huastecos del Viejo Elpidio	individual_candidate	SRC0001	high	raw_extracted
Trovadores Tlalixcoyanos	individual_candidate	SRC0001	high	raw_extracted
Trío Calaveras	individual_candidate	SRC0001	high	raw_extracted
Trío Guerrerense	individual_candidate	SRC0001	high	raw_extracted
Trío Los Compadres	individual_candidate	SRC0001	high	raw_extracted
Trío Tamaulipas	individual_candidate	SRC0001	high	raw_extracted
Ventura Romero	individual_candidate	SRC0001	high	raw_extracted
Veronica Castro	individual_candidate	SRC0001	high	raw_extracted
Vicente Garrido	individual_candidate	SRC0001	high	raw_extracted
Vicente Herrera	individual_candidate	SRC0001	high	raw_extracted
Vicentico Valdés	individual_candidate	SRC0001	high	raw_extracted
Vicentico Valdéz	individual_candidate	SRC0001	high	raw_extracted
Victor Cordero	individual_candidate	SRC0001	high	raw_extracted
Victor Cordero Y Martita	needs_entity_review	SRC0001	medium	needs_review
Wayne Gregg	individual_candidate	SRC0001	high	raw_extracted
unknown artist	individual_candidate	SRC0001	high	raw_extracted
